smiles,NR3C1_10090,PPARG_10090,PPARG_9606,ESR1_10116,NR3C1_10116,AR_10090,NR3C1_9606,AR_10116,ESR1_9606,AR_9606
O=S(=O)(NC1=CC=C(OC2=CC=C3C=CC=CC3=C2)C(Cl)=C1)C1=CC=C(Cl)C=C1Cl,,,0.0,,,,,,,
CCC(CC1=CC=CC(C)=C1C)NS(=O)(=O)C1=C(C)C=C(C)C=C1C,,,,,,,1.0,,,
CC(C)(CC(O)(CC1CCCCC1)C(=O)NC1=CC=C2C(=O)OCC2=C1)C1=CC(F)=CC=C1O,,,,,,,1.0,,,
O=C1[C@H]2[C@@H]3C[C@@H](CN3C(=O)OC3=CC=C(F)C=C3)N2C(=O)N1C1=CC=C([N+](=O)[O-])C2=CC=CC=C12,,,,,,,,,,1.0
O=C(CC1=CC=C(O)C=C1)C1=CC=C(O)C=C1O,,,,,,,,,0.0,
CC1=C(C2=CC=C(F)C=C2)C(C2=CC=C3OCC(=O)NC3=C2)=NO1,,,,,,,,,,0.0
C#C[C@]1(O)CCC2C3CC[C@H]4CC5=C(C[C@]4(C)C3CC[C@@]21C)SC(S(C)(=O)=O)=N5,,,,,,,,0.0,,
CC(=O)SC1CC2=CC(=O)C3CC3C2(C)C2CCC3(C)C(C4CC4C34CCC(=O)O4)C12,,,,,,,,,,
CC1CN(C2=CC(C(F)(F)F)=C(C#N)C=C2)C(C)CN1C(=O)NC1=CC=CC=N1,,,,,,,,,,0.0
CC1C2=C(Cl)C(C3=CC=CC4=C3NC=C4)=C(Cl)C=C2NC(C)(C)C1O,,,,,,,0.0,,,
CC(NC(=O)C1=CC2=C(C=C1)N(CC1=CC=C(C3=CC=CC=C3O)C=C1)C=C2)C1=CC=C([N+](=O)[O-])C=C1,,,0.0,,,,,,,
CC1CCN(C(C)COC2=CC=C(C3OC4=C(C=C(O)C=C4)SC3C3=CC=C(O)C=C3)C=C2)C1,,,,,,,,,1.0,
CC1=CC(C)=C(S(=O)(=O)NC(C)COC2=CC=CC3=C2C=CN3)C(C)=C1,,,,,,,1.0,,,
CCN1CC(C)(C)C(OC2=CC=C(C#N)C(C(F)(F)F)=C2)C1=O,,,,,,,,,,0.0
CC1(C)C(=O)N(C2=CC(C(F)(F)F)=C(C#N)C=C2)C(=O)N1OCCOCCOCCCC1=CC(C(N)=O)=C(O)C=C1,,,,,,,,,,0.0
CC1=CC(S(=O)(=O)NC(C)CC2=CNC3=CC=CC=C23)=CC=C1,,,,,,,0.0,,,
CC[C@@H](OC1=CC=CC(CN2C(C)=C(C(=O)C3=CC=C(Cl)C=C3)C3=CC=C(OC(F)(F)F)C=C32)=C1)C(=O)O,,,1.0,,,,,,,
C1=CC=C(CCC2=CC(CCC3=CC=CC=C3)=NC(NCC3=CC=CC=C3)=N2)C=C1,,,,,,,,,0.0,
OC1=CC=C(C2=CC=C3C(O)=CC=CC3=C2)C=C1C1=CC=CC=C1,,,,,,,,,0.0,
O=C(CCl)NC1=CC=CC(C(NC(=O)OCC2=CC=CC=C2)C(=O)O)=C1,,,0.0,,,,,,,
OC1=CC(O)=C(C2=NNC3=C2C=CC(O)=C3)C=C1,,,,,,,,,1.0,
CN1C=CC(S(=O)(=O)N2CCC3=CC4=C(C=NN4C4=CC=C(F)C=C4)C[C@]3(C(=O)C3=CC(C(F)(F)F)=CC=N3)C2)=N1,,,,,,,1.0,,,
CC1=CC=CC=C1N1CCN(C(=O)CSCC2=CC=CC=C2)CC1,,,,,,,,,,0.0
O=S(=O)(NC1=CC(Cl)=C(OC2=CC3=CC=CC=C3N=C2)N=C1)C1=CC(Cl)=C(Cl)C=C1,,0.0,,,,,,,,
CCN1C(SCC(=O)NC2=CC=C3C(=C2)C2=CC=CC=C2N3CC)=NN=C1C1=CC=CO1,,,,,,,,,0.0,
