smiles,SIGMAR1_10141,SIGMAR1_9606,SIGMAR1_10090,TNF_9606,SIGMAR1_10116
CC1=NC=C(C(=O)C2CCN(C3CC4=C(C=CC=C4N)CC3O)CC2)C=C1,0.0,,,,
C(=CC1=CC=CC=C1)CNC1CCN(CC2=CC=CC=C2)CC1,,1.0,,,
CCCN(CCC)CCCC1=CC=CC(OC)=C1OCCC1=CC=CC=C1,,,,,1.0
N#CC1=CC=C(C2=C3C(=CS2)C(=O)OC32CCN(CC3=CC=CC=C3)CC2)C=C1,1.0,,,,
CCCN1CCC2C3=CC=CC=C3CCC2C1,,1.0,,,
O=S(=O)(NCCN1CCCCCC1)C1=CC=C(I)C=C1,,1.0,,,
COC1=CC2=C(C=C1)CN(CC1(C#CC3=CC=C(C4(C5CCC5)NC(=O)NC4=O)C=C3)NC(=O)NC1=O)C2=O,,,,1.0,
CC1=CC(C)=C(CNC2CCC3(CC2)OC(O)CC2=CC=CC=C23)C=C1,1.0,,,,
NC(=NC1=CC=CC2=CC=CC=C12)N1CCCCC1,,0.0,,,
NC1CC2=CC=CC=C2C(C2=CC=CC=C2)C1,,0.0,,,
O=[N+]([O-])C1=CC=C(OCC2CCN(CC3CC3)CC2)C=C1,,1.0,1.0,,
CN(CCCN1C(=O)[C@@H]2CC3=CC=CC=C3CN2C1=O)C1=CC=CC=C1,,,,,
COC1=CC=C(OCC2C3=C(C=C(OCC4=CC=CC=C4)C=C3)CCN2C(=O)C2=CC(Br)=CC=C2)C=C1,,0.0,,,
O=C(CC1=CC=CC=C1)NC1CCN(CC2=CC(F)=CC=C2)CC1,,1.0,,,
CCCC(C(=O)NCC1=CC=CC=C1)N1C(=O)C(CCCN)N(CC2=CC=CC=C2)C1=O,,1.0,,,
COC1=CC=CC=C1N1CCN(CCN2C(=O)NC3=CC=CC=C3C2=O)CC1,,0.0,,,
CC(C)=CCN1CC[C@@]2(C)C3=CC(O)=CC=C3C[C@@H]1[C@H]2C,1.0,,,,1.0
CC1C2CC3=C(C=C(O)C=C3)C1(C)CCN2CCN(C)C,,1.0,,,
CN1CCN(CCCOC2=CC3=C(C=C2)OC=CC3=O)CC1,,1.0,,,
CC1OC2(CCN(CCC3=CC=CC=C3)CC2)CN(C2=CC=CC=N2)C1=O,,1.0,,,
O=C1C=C(C2=CC=C(F)C=C2)OC12CCN(CCC1=CC=CC=C1)CC2,,1.0,,,
CC(C)(C)C(=O)NC1=C2C=NN(CCN3CCCCCC3)C2=NC=N1,,1.0,,,
COC(=O)N1CC2C(N3CCCC3)CCCC1CN2C(=O)CC1=CC=C(Cl)C(Cl)=C1,1.0,,,,
O=C(C1=CC=C(F)C=C1)C1CCN([C@@H]2CN(C(=O)C3=CC=CC=C3)CC[C@H]2O)CC1,0.0,,,,
O=C(C1=CC=C(F)C=C1)C1CCN([C@@H]2CC3=C(C=CC=C3OCCF)C[C@H]2O)CC1,1.0,,,,
